,Date,Mark
214,2017-12-16,1.0
215,2017-12-13,1.0
216,2017-12-17,1.0
217,2017-12-12,1.0
218,2017-12-18,1.0
219,2017-12-15,1.0
220,2017-12-17,1.0
221,2017-12-14,1.0
222,2017-12-18,1.0
223,2017-12-13,1.0
224,2017-12-19,1.0
225,2017-12-18,1.0
226,2017-12-20,1.0
227,2017-12-17,1.0
228,2017-12-21,1.0
229,2017-12-16,1.0
230,2017-12-22,1.0
231,2017-12-20,1.0
232,2017-12-22,1.0
233,2017-12-19,1.0
234,2017-12-23,1.0
235,2017-12-18,1.0
236,2017-12-24,1.0
237,2017-12-24,1.0
238,2017-12-26,1.0
239,2017-12-23,1.0
240,2017-12-27,1.0
241,2017-12-22,1.0
242,2017-12-28,1.0
243,2017-12-26,1.0
244,2017-12-28,1.0
245,2017-12-25,1.0
246,2017-12-29,1.0
247,2017-12-24,1.0
248,2017-12-30,1.0
249,2017-12-28,1.0
250,2017-12-30,1.0
251,2017-12-27,1.0
252,2017-12-31,1.0
253,2017-12-26,1.0
254,2018-01-01,1.0
255,2018-01-01,1.0
256,2018-01-03,1.0
257,2017-12-31,1.0
258,2018-01-04,1.0
259,2017-12-30,1.0
260,2018-01-05,1.0
261,2018-01-03,1.0
262,2018-01-05,1.0
263,2018-01-02,1.0
264,2018-01-06,1.0
265,2018-01-01,1.0
266,2018-01-07,1.0
267,2018-01-04,1.0
268,2018-01-06,1.0
269,2018-01-03,1.0
270,2018-01-07,1.0
271,2018-01-02,1.0
272,2018-01-08,1.0
